product,rate_mfn,rate_applied,tariff_lines,is_traded
"292910 - Nitrogen-function compounds; n.e.s. in chapter 29, isocyanates",0,0,3,Yes
"292990 - Nitrogen-function compounds; n.e.s. in chapter 29, excluding isocyanates",0,0,3,Yes
293010 - Organo-sulphur compounds; dithiocarbonates (xanthates),0,0,1,No
293020 - Organo-sulphur compounds; thiocarbamates and dithiocarbamates,0,0,1,Yes
"293030 - Organo-sulphur compounds; thiuram mono-, di- or tetrasulphides",0,0,1,No
293040 - Organo-sulphur compounds; methionine,0,0,1,No
"293060 - 2-(N,N-Diethylamino)ethanethiol",0,0,1,No
293070 - Bis(2-hydroxyethyl)sulfide (thiodiglycol (INN)),0,0,1,No
"293080 - Aldicarb (ISO), Captafol (ISO) and methamidophos (ISO)",0,0,1,No
293090 - Organo-sulphur compounds; n.e.s. in heading no. 2930,0,0,2,Yes
293110 - Tetramethyl lead and tetraethyl lead,0,0,2,No
293120 - Tributyltin compounds,0,0,1,Yes
"293211 - Heterocyclic compounds; containing an unfused furan ring (whether or not hydrogenated) in the structure, tetrahydrofuran",0,0,1,Yes
"293212 - Heterocyclic compounds; containing an unfused furan ring (whether or not hydrogenated) in the structure, 2-furaldehyde (furfuraldehyde)",0,0,1,Yes
"293213 - Heterocyclic compounds; containing an unfused furan ring (whether or not hydrogenated) in the structure, furfuryl alcohol and tetrahydrofurfuryl alcohol",0,0,1,Yes
293214 - Sucralose,0,0,1,Yes
"293219 - Heterocyclic compounds; containing an unfused furan ring (whether or not hydrogenated) in the structure, n.e.s. in item no. 2932.10",0,0,1,No
293220 - Lactones,0,0,2,Yes
293291 - Isosafrole,0,0,1,No
"293292 - 1-(1,3-Benzodioxol-5-yl)propan-2-one",0,0,1,No
293293 - Piperonal,0,0,1,No
293294 - Safrole,0,0,1,No
293295 - Tetrahydrocannabinols (all isomers),0,0,1,No
293299 - Other,0,0,1,Yes
"293311 - Heterocyclic compounds; containing an unfused pyrazole ring (whether or not hydrogenated) in the structure, phenazone (antipyrin) and its derivatives",0,0,1,No
"293319 - Heterocyclic compounds; containing an unfused pyrazole ring (whether or not hydrogenated) in the structure, other than those of item no. 2933.11",0,0,1,Yes
"293321 - Heterocyclic compounds; containing an unfused imidazole ring (whether or not hydrogenated) in the structure, hydantoin and its derivatives",0,0,1,Yes
"293329 - Heterocyclic compounds; containing an unfused imidazole ring (whether or not hydrogenated) in the structure, other than hydantoin and its derivatives",0,0,1,Yes
"293331 - Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, pyridine and its salts",0,0,1,Yes
293332 - Piperidine and its salts,0,0,1,Yes
"293333 - Alfentanil (INN), anileridine (INN), bezitramide (INN), bromazepam (INN), difenoxin (INN), diphenoxylate (INN), dipipanone (INN), fentanyl (INN), ketobemidone (INN), methylphenidate (INN), pentazocine (INN), pethidine (INN), pethidine (INN) intermediat",0,0,1,Yes
"293339 - Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, other than pyridine and its salts",0,0,3,Yes
293341 - Levorphanol (INN) and its salts,0,0,1,No
293349 - Other,0,0,2,Yes
293352 - Malonylurea (barbituric acid) and its salts,0,0,1,No
"293353 - Allobarbital (INN), amobarbital (INN), barbital (INN), butalbital (INN), butobarbital, cyclobarbital (INN), methylphenobarbital (INN), pentobarbital (INN), phenobarbital (INN), secbutabarbital (INN), secobarbital (INN) and vinylbital (INN); salts there",0,0,1,No
293354 - Other derivatives of malonylurea (barbituric acid); salts thereof,0,0,1,No
"293355 - Loprazolam (INN), mecloqualone (INN), methaqualone (INN) and zipeprol (INN); salts thereof",0,0,1,No
"293359 - Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, nucleic acids and their salts, excluding malonylurea",0,0,2,Yes
"293361 - Heterocyclic compounds; containing an unfused triazine ring (whether or not hydrogenated) in the structure, melamine",0,0,1,No
"293369 - Heterocyclic compounds; containing an unfused triazine ring (whether or not hydrogenated) in the structure, others excluding melamine",0,0,1,Yes
293371 - Heterocyclic compounds; lactams; 6-hexanelactam (epsilon-caprolactam),0,0,1,No
293372 - Clobazam (INN) and methyprylon (INN),0,0,1,No
293379 - Heterocyclic compounds; lactams; other than 6-hexanelactam (epsilon caprolactam),0,0,1,Yes
"293391 - Alprazolam (INN), camazepam (INN), chlordiazepoxide (INN), clonazepam (INN), clorazepate, delorazepam (INN), diazepam (INN), estazolam (INN), ethyl loflazepate (INN), fludiazepam (INN), flunitrazepam (INN), flurazepam (INN), halazepam (INN), lorazepam ",0,0,1,No
293392 - Azinphos-methyl (ISO),0,0,1,No
293399 - Other,0,0,2,Yes
293410 - Heterocyclic compounds; containing an unfused thiazole ring (whether or not hydrogenated) in the structure,0,0,1,Yes
"293420 - Heterocyclic compounds; containing a benzothiazole ring-system (whether or not hydrogenated), not further fused",0,0,1,Yes
"293430 - Heterocyclic compounds; containing a phenothiazine ring-system (whether or not hydrogenated), not further fused",0,0,1,Yes
"293491 - Aminorex (INN), brotizolam (INN), clotiazepam (INN), cloxazolam (INN), dextromoramide (INN), haloxazolam (INN), ketazolam (INN), mesocarb (INN), oxazolam (INN), pemoline (INN), phendimetrazine (INN), phenmetrazine (INN) and sufentanil (INN); salts ther",0,0,1,No
293499 - Other,0,0,6,Yes
293510 - N-Methylperfluorooctane sulphonamide,0,0,1,No
293520 - N-Ethylperfluorooctane sulphonamide,0,0,1,No
293530 - N-Ethyl-N-(2-hydroxyethyl) perfluorooctane sulphonamide,0,0,1,No
293540 - N-(2-Hydroxyethyl)-N-methylperfluorooctane sulphonamide,0,0,1,No
293550 - Other perfluorooctane sulphonamides,0,0,1,No
293590 - Other,0,0,1,Yes
"293621 - Vitamins; vitamins A and their derivatives, unmixed",0,0,1,Yes
"293622 - Vitamins; vitamin B1 and its derivatives, unmixed",0,0,1,Yes
"293623 - Vitamins; vitamin B2 and its derivatives, unmixed",0,0,1,Yes
"293624 - Vitamins; D- or DL-pantothenic acid (vitamin B3 or vitamin B5) and its derivatives, unmixed",0,0,1,No
"293625 - Vitamins; vitamin B6 and its derivatives, unmixed",0,0,1,Yes
"293626 - Vitamins; vitamin B12 and its derivatives, unmixed",0,0,1,Yes
"293627 - Vitamins; vitamin C and its derivatives, unmixed",0,0,1,Yes
"293628 - Vitamins; vitamin E and its derivatives, unmixed",0,0,1,Yes
"293629 - Vitamins; n.e.s. in item no. 2936.2, and their derivatives, unmixed",0,0,1,Yes
"293690 - Vitamins; n.e.s. in heading no. 2936, including natural concentrates",0,0,1,Yes
"293711 - Somatotropin, its derivatives and structural analogues",0,0,1,No
293712 - Insulin and its salts,0,0,1,Yes
293719 - Other,0,0,1,Yes
"293721 - Hormones; cortisone, hydrocortisone, prednisone (dehydrocortisone) and prednisolone (dehydrohydrocortisone)",0,0,1,Yes
293722 - Hormones; halogenated derivatives or adrenal cortical hormones,0,0,1,Yes
293723 - Oestrogens and progestogens,0,0,1,No
"293729 - Hormones; adrenal cortical hormones and their derivatives, n.e.s. in item no. 2937.2",0,0,1,Yes
"293750 - Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues",0,0,1,Yes
293790 - Other,0,0,3,Yes
293810 - Glycosides; rutoside (rutin) and its derivatives,0,0,1,Yes
"293890 - Glycosides; natural or reproduced by synthesis, other than rutoside (rutin) and its derivatives",0,0,1,No
"293911 - Concentrates of poppy straw; buprenorphine (INN), codeine, dihydrocodeine (INN), ethylmorphine, etorphine (INN), heroin, hydrocodone (INN), hydromorphone (INN), morphine, nicomorphine (INN), oxycodone (INN), oxymorphone (INN), pholcodine (INN), thebaco",0,0,2,No
293919 - Other,0,0,1,No
293920 - Alkaloids of cinchona and their derivatives; salts thereof,0,0,2,No
"293930 - Alkaloids, vegetable; caffeine and its salts",0,0,1,Yes
293941 - Ephedrine and its salts,0,0,1,No
293942 - Pseudoephedrine (INN) and its salts,0,0,1,Yes
293943 - Cathine (INN) and its salts,0,0,1,No
293944 - Norephedrine and its salts,0,0,1,No
293949 - Other,0,0,1,No
293951 - Fenetylline (INN) and its salts,0,0,1,No
293959 - Other,0,0,1,Yes
293961 - Ergometrine (INN) and its salts,0,0,1,No
293962 - Ergotamine (INN) and its salts,0,0,1,No
293963 - Lysergic acid and its salts,0,0,1,No
293969 - Other,0,0,1,No
293979 - Other,0,0,1,Yes
293980 - Other,0,0,1,Yes
"294000 - Sugars; chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers and sugar esters, and their salts, other than products of heading no. 2937, 2938 or 2939",0,0,1,Yes
294110 - Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof,0,0,4,No
294120 - Antibiotics; streptomycins and their derivatives; salts thereof,0,0,1,No
294130 - Antibiotics; tetracyclines and their derivatives; salts thereof,0,0,1,Yes
294140 - Antibiotics; chloramphenicol and its derivatives; salts thereof,0,0,1,No
294150 - Antibiotics; erythromycin and its derivatives; salts thereof,0,0,1,Yes
294190 - Antibiotics; n.e.s. in heading no. 2941,0,0,1,Yes
294200 - Organic compounds; n.e.s. in chapter 29,0,0,1,Yes
"300120 - Glands; extracts of glands, other organs or of their secretions, for organo-therapeutic uses",0,0,1,Yes
"300190 - Glands; heparin and its salts; other human or animal substances prepared for therapeutic or prophylactic uses, not elsewhere specified or included",0,0,1,Yes
300212 - Antisera and other blood fractions,0,0,2,Yes
"300213 - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",0,0,1,Yes
"300214 - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",0,0,1,No
"300215 - Immunological products, put up in measured doses or in forms or packings for retail sale",0,0,1,Yes
"300290 - Toxins, cultures of micro-organisms (excluding yeasts) and similar products",0,0,1,Yes
"300310 - Medicaments; containing penicillins, streptomycins or their derivatives, for therapeutic or prophylactic uses, (not in measured doses, not packaged for retail sale)",0,0,3,Yes
"300320 - Medicaments; containing antibiotics other than penicillins, streptomycins and their derivatives, for therapeutic or prophylactic uses, (not in measured doses, not packaged for retail sale)",0,0,1,No
"300331 - Medicaments; containing insulin (but not containing antibiotics), for therapeutic or prophylactic uses, not packaged for retail sale",0,0,1,No
"300339 - Medicaments; containing hormones (excluding insulin), (but not containing antibiotics), for therapeutic or prophylactic uses, not packaged for retail sale",0,0,1,No
300341 - Containing ephedrine or its salts,0,0,1,No
300342 - Containing pseudoephedrine (INN) or its salts,0,0,1,No
300343 - Containing norephedrine or its salts,0,0,1,No
300349 - Other,0,0,1,No
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",0,0,1,No
"300390 - Medicaments; (not containing antibiotics, hormones, alkaloids or their derivatives), for therapeutic or prophylactic uses, (not packaged for retail sale)",0,0,1,Yes
"300410 - Medicaments; containing penicillins, streptomycins or their derivatives, for therapeutic or prophylactic uses, packaged for retail sale",0,0,4,Yes
"300420 - Medicaments; containing antibiotics (other than penicillins, streptomycins or their derivatives), for therapeutic or prophylactic uses, packaged for retail sale",0,0,8,Yes
"300431 - Medicaments; containing insulin (but not containing antibiotics), for therapeutic or prophylactic uses, packaged for retail sale",0,0,1,No
"300432 - Medicaments; containing adrenal cortex hormones (but not containing antibiotics), for therapeutic or prophylactic uses, packaged for retail sale",0,0,3,Yes
"300439 - Medicaments; containing hormones (but not insulin), adrenal cortex hormones or antibiotics, for therapeutic or prophylactic uses, packaged for retail sale",0,0,1,Yes
300441 - Containing ephedrine or its salts,0,0,1,No
300442 - Containing pseudoephedrine (INN) or its salts,0,0,1,No
300443 - Containing norephedrine or its salts,0,0,1,No
300449 - Other,0,0,8,Yes
"300450 - Medicaments; containing vitamins or their derivatives, for therapeutic or prophylactic use, packaged for retail sale",0,0,5,Yes
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",0,0,3,No
"300490 - Medicaments; consisting of mixed or unmixed products n.e.s. in heading no. 3004, for therapeutic or prophylactic uses, packaged for retail sale",0,0,28,Yes
"300510 - Dressings, adhesive; and other articles having an adhesive layer, packed for retail sale for medical, surgical, dental or veterinary purposes",0,0,2,Yes
"300590 - Wadding, gauze, bandages and similar articles; (excluding adhesive dressings), impregnated or coated with pharmaceutical substances, packaged for retail sale",0,0,3,Yes
"300610 - Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",0,0,2,Yes
"300630 - Pharmaceutical goods; opacifying preparations for x-ray examinations, diagnostic reagents designed to be administered to the patient",0,0,4,Yes
"300640 - Pharmaceutical goods; dental cements and other dental fillings, bone reconstruction cements",0,0,2,Yes
300650 - Pharmaceutical goods; first aid boxes and kits,0,0,1,Yes
300660 - Pharmaceutical goods; chemical contraceptive preparations based on hormones or spermicides,0,0,1,No
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,0,0,1,Yes
300691 - Appliances identifiable for ostomy use,0,0,1,Yes
300692 - Waste pharmaceuticals,0,0,2,Yes
"310210 - Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",0,0,1,Yes
"310221 - Fertilizers, mineral or chemical; nitrogenous, ammonium sulphate",0,0,1,Yes
"310229 - Fertilizers, mineral or chemical; nitrogenous, other than ammonium sulphate",0,0,1,No
"310230 - Fertilizers, mineral or chemical; nitrogenous, ammonium nitrate, whether or not in aqueous solution",0,0,1,No
"310240 - Fertilizers, mineral or chemical; ammonium nitrate with calcium carbonate or other inorganic non-fertilizing substances, mixtures thereof",0,0,1,No
"310250 - Fertilizers, mineral or chemical; nitrogenous, sodium nitrate",0,0,1,No
"310260 - Fertilizers, mineral or chemical; nitrogenous, double salts and mixtures of calcium nitrate and ammonium nitrate",0,0,1,Yes
"310280 - Fertilizers, mineral or chemical; nitrogenous, mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution",0,0,1,No
"310290 - Fertilizers, mineral or chemical; nitrogenous, other kinds including mixtures not specified in the foregoing subheadings",0,0,1,Yes
310311 - Containing by weight 35 % or more of diphosphorus pentaoxide (P2O5),0,0,2,No
310319 - Other,0,0,2,No
"310390 - Fertilizers, mineral or chemical; phosphatic, n.e.s. in heading no. 3103",0,0,2,Yes
"310420 - Fertilizers, mineral or chemical; potassic, potassium chloride",0,0,1,Yes
"310430 - Fertilizers, mineral or chemical; potassic, potassium sulphate",0,0,1,Yes
"310490 - Fertilizers, mineral or chemical; potassic, n.e.s. in heading no. 3104",0,0,1,Yes
"310510 - Fertilizers, mineral or chemical; in tablets or similar forms or in packages of a gross weight not exceeding 10kg",0,0,3,No
"310520 - Fertilizers, mineral or chemical; containing the three fertilizing elements nitrogen, phosphorus and potassium",0,0,1,Yes
"310530 - Fertilizers, mineral or chemical; diammonium hydrogenorthophosphate (diammonium phosphate)",0,0,1,Yes
"310540 - Fertilizers, mineral or chemical; ammonium dihydrogenorthophosphate (monoammonium phosphate) and mixtures thereof with diammonium hydrogenorthophosphate (diammonium phosphate)",0,0,1,No
"310551 - Fertilizers, mineral or chemical; containing nitrates and phosphates",0,0,1,No
"310559 - Fertilizers, mineral or chemical; containing the two fertilizing elements nitrogen and phosphorus, other than nitrates and phosphates",0,0,1,Yes
"310560 - Fertilizers, mineral or chemical; containing the two fertilizing elements phosphorus and potassium",0,0,1,Yes
"310590 - Fertilizers, mineral or chemical; n.e.s. in heading no. 3105",0,0,1,Yes
320110 - Tanning extracts of vegetable origin; quebracho extract,0,0,1,Yes
320120 - Tanning extracts of vegetable origin; wattle extract,0,0,1,No
"320190 - Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives, n.e.s. in heading no. 3201",0,0,1,Yes
320210 - Tanning substances; synthetic organic tanning substances,0,0,1,Yes
"320290 - Tanning substances; inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances; enzymatic preparations for pre- tanning",0,0,1,Yes
"320300 - Colouring matter of vegetable or animal origin, including dyeing extracts not animal black, whether or not chemically defined; preparations based on colouring matter of vegetable or animal origin",0,0,2,Yes
320411 - Dyes; disperse dyes and preparations based thereon,0,0,2,Yes
"320412 - Dyes; acid, whether or not premetallised and preparations based thereon, mordant dyes and preparations based thereon",0,0,2,Yes
320413 - Dyes; basic dyes and preparations based thereon,0,0,1,Yes
320414 - Dyes; direct dyes and preparations based thereon,0,0,1,Yes
320415 - Dyes; vat dyes (including those usable in that state as pigments) and preparations based thereon,0,0,1,No
320416 - Dyes; reactive dyes and preparations based thereon,0,0,1,Yes
320417 - Dyes; pigments and preparations based thereon,0,0,2,Yes
"320419 - Dyes; n.e.s., including mixtures of colouring matter of two or more of those from item no. 3204.11 to 3204.19",0,0,1,Yes
320420 - Dyes; synthetic organic products of a kind used as fluorescent brightening agents,0,0,1,Yes
"320490 - Dyes; synthetic organic products n.e.s. in heading no. 3204 (eg of a kind used as luminophores), whether or not chemically defined",0,0,1,Yes
320500 - Colour lakes; preparations based on colour lakes as specified in note 3 to this chapter,0,0,1,Yes
320620 - Colouring matter; pigments and preparations based on chromium compounds,0,0,2,Yes
320641 - Colouring matter; ultramarine and preparations based thereon,0,0,2,Yes
320642 - Colouring matter; lithopone and other pigments and preparations based on zinc sulphide,0,0,2,Yes
320649 - Colouring matter; other preparations n.e.s. in item no. 3206.4,0,0,3,Yes
320650 - Colouring matter; inorganic products of a kind used as luminophores,0,0,2,Yes
"320710 - Pigments; prepared pigments, opacifiers, colours and similar preparations",0,0,1,Yes
"320720 - Enamels and glazes; vitrifiable enamels and glazes, engobes (slips) and similar preparations",0,0,2,Yes
320730 - Lustres; liquid lustres and similar preparations,0,0,1,Yes
"320740 - Glass; glass frit and other glass, in the form of powder, granules or flakes",0,0,1,Yes
321100 - Driers; prepared,0,0,1,Yes
"321210 - Pigments; of a kind used in the manufacture of paints, stamping foils",0,0,1,Yes
"330112 - Oils, essential; of orange (terpeneless or not), including concretes and absolutes",0,0,1,Yes
"330113 - Oils, essential; of lemon (terpeneless or not), including concretes and absolutes",0,0,1,Yes
"330119 - Oils, essential; of citrus fruits n.e.s. in heading no. 3301 (terpeneless or not), including concretes and absolutes",0,0,1,Yes
"330124 - Oils, essential; of peppermint (mentha piperita), terpeneless or not, including concretes and absolutes",0,0,1,Yes
"330125 - Oils, essential; of mints (excluding peppermint), terpeneless or not, including concretes and absolutes",0,0,1,Yes
"330129 - Oils, essential; n.e.s. in heading no. 3301 (terpeneless or not), including concretes and absolutes",0,0,7,Yes
330130 - Resinoids,0,0,1,No
"330190 - Oils, essential; concentrates in fats, fixed oils, waxes and the like, terpenic by-products, aqueous distillates and solutions",0,0,3,Yes
330210 - Odoriferous substances and mixtures; of a kind used in the food or drink industries,0,0,4,Yes
330290 - Odoriferous substances and mixtures; used as raw materials in industries other than the food or drink industries,0,0,1,Yes
330300 - Perfumes and toilet waters,0,0,1,Yes
330410 - Cosmetic and toilet preparations; lip make-up,0,0,1,Yes
330420 - Cosmetic and toilet preparations; eye make-up,0,0,1,Yes
330430 - Cosmetic and toilet preparations; manicure or pedicure preparations,0,0,1,Yes
"330491 - Cosmetic and toilet preparations; powders, whether or not compressed (excluding lip, eye, manicure or pedicure preparations)",0,0,1,Yes
"330499 - Cosmetic and toilet preparations; n.e.s. in heading no. 3304, for the care of the skin (excluding medicaments, including sunscreen or sun tan preparations)",0,0,3,Yes
330510 - Hair preparations; shampoos,0,0,2,Yes
330520 - Hair preparations; for permanent waving or straightening,0,0,1,Yes
330530 - Hair preparations; lacquers,0,0,1,Yes
330590 - Hair preparations; n.e.s. in heading no. 3305,0,0,1,Yes
330610 - Oral or dental hygiene preparations; dentifrices,0,0,2,Yes
330620 - Yarn used to clean between the teeth (dental floss),0,0,1,Yes
330690 - Oral or dental hygiene preparations; other than dentifrices,0,0,1,Yes
"330710 - Perfumery, cosmetic or toilet preparations; pre-shave, shaving or after-shave preparations",0,0,1,Yes
"330720 - Perfumery, cosmetic or toilet preparations; personal deodorants and antiperspirants",0,0,1,Yes
"330730 - Perfumery, cosmetic or toilet preparations; perfumed bath salts and other bath preparations",0,0,1,Yes
"330741 - Perfumes and deodorizors; perfuming or deodorizing preparations for rooms, agarbatti and other odoriferous preparations which operate by burning (including those used during religious rites)",0,0,2,No
"330749 - Perfumes and deodorizors; perfuming or deodorizing preparations for rooms, (excluding those which operate by burning)",0,0,2,Yes
330790 - Perfumes and deodorizors; perfuming or deodorizing preparations n.e.s. in heading no. 3307,0,0,5,Yes
340120 - Soap; in forms n.e.s. in item no. 3401.11,0,0,3,Yes
"340130 - Organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap",0,0,1,Yes
"340290 - Washing and cleaning preparations; surface-active, whether or not containing soap (excluding those of heading no. 3401), including auxiliary washing preparations, not for retail sale",0,0,10,Yes
"340420 - Waxes; artificial and prepared, of polyethylene glycol",0,0,1,Yes
"340490 - Waxes; artificial and prepared, other than of chemically modified lignite or polyethylene glycol",0,0,2,Yes
350110 - Casein,0,0,1,No
"350400 - Peptones and their derivatives; other protein substances and their derivatives n.e.s. or included, hide powder, whether or not chromed",0,0,1,Yes
350510 - Dextrins and other modified starches,0,0,2,Yes
350710 - Enzymes; rennet and concentrates thereof,0,0,1,Yes
350790 - Enzymes and prepared enzymes; other than rennet and concentrates thereof,0,0,1,Yes
360100 - Explosives; propellent powders,0,0,1,Yes
"370110 - Photographic plates and film; for x-ray, in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles",0,0,1,Yes
"370120 - Photographic plates and film; instant print film, in the flat, sensitised, unexposed, whether or not in packs",0,0,1,Yes
"370130 - Photographic plates and film; in the flat, sensitised, unexposed, with any side exceeding 225mm, of any materials other than paper, paperboard or textiles",0,0,1,Yes
"370191 - Photographic plates and film; for colour photography (polychrome), in the flat, sensitised, unexposed, with no side exceeding 255mm, of any material other than paper, paperboard or textiles",0,0,2,Yes
"370199 - Photographic plates and film; (for other than colour photography), in the flat, sensitised, unexposed, with no side exceeding 255mm, of any material other than paper, paperboard or textiles",0,0,2,Yes
"370210 - Photographic film; for x-rays, in rolls, sensitised and unexposed",0,0,1,No
"370231 - Photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, without sprocket holes, of a width not exceeding 105mm",0,0,1,No
"370232 - Photographic film; in rolls, with silver halide emulsion, sensitised, unexposed, without sprocket holes, of a width not exceeding 105mm",0,0,1,No
"370239 - Photographic film; in rolls, (other than with silver halide emulsion and for colour photography), sensitised, unexposed, without sprocket holes, of a width not exceeding 105mm",0,0,1,Yes
"370241 - Photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, without sprocket holes, of a width exceeding 610mm and of a length exceeding 200m",0,0,1,No
"370242 - Photographic film; in rolls, (other than for colour photography), sensitised, unexposed, without sprocket holes, of a width exceeding 610mm and of a length exceeding 200m",0,0,2,Yes
"370243 - Photographic film; in rolls, sensitised, unexposed, without sprocket holes, of a width exceeding 610mm and of a length not exceeding 200m",0,0,1,No
"370244 - Photographic film; in rolls, sensitised, unexposed, without sprocket holes, of a width exceeding 105mm but not exceeding 610mm",0,0,1,Yes
"370252 - Photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, of a width not exceeding 16mm and of a length exceeding 14m",0,0,2,Yes
"370253 - Photographic film; for colour photography (polychrome) slides, in rolls, sensitised, unexposed, of a width exceeding 16mm but not exceeding 35mm and of a length not exceeding 30m",0,0,1,No
"370254 - Photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, of a width exceeding 16mm but not 35mm and of a length not exceeding 30m, excluding film for slides",0,0,2,Yes
"370255 - Photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, of a width exceeding 16mm but not 35mm and of a length exceeding 30m",0,0,3,No
"370256 - Photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, of a width exceeding 35mm",0,0,2,No
370296 - Of a width not exceeding 35 mm and of a length not exceeding 30 m,0,0,2,No
370297 - Of a width not exceeding 35 mm and of a length exceeding 30 m,0,0,2,No
370298 - Of a width exceeding 35 mm,0,0,3,Yes
"370310 - Photographic paper, paperboard and textiles; in rolls, sensitised, unexposed, of a width exceeding 610mm",0,0,2,Yes
"370320 - Photographic paper, paperboard and textiles; for colour photography (polychrome), (other than in rolls of a width exceeding 610mm), sensitised, unexposed",0,0,1,Yes
"370390 - Photographic paper, paperboard and textiles; (for other than colour photography, other than in rolls of a width exceeding 610mm), sensitised, unexposed",0,0,1,Yes
"370400 - Photographic plates, film, paper, paperboard and textiles; exposed but not developed",0,0,2,Yes
"370500 - Photographic plates and film, exposed and developed, other than cinematographic film",0,0,4,Yes
"370610 - Cinematographic film; exposed and developed, whether or not incorporating sound track or consisting only of sound track, of a width of 35cm or more",0,0,4,No
"370690 - Cinematographic film; exposed and developed, whether or not incorporating a sound track or consisting only of sound track, of a width less than 35mm",0,0,4,No
"370790 - Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",0,0,2,Yes
380110 - Graphite; artificial,0,0,1,Yes
380120 - Graphite; colloidal or semi-colloidal,0,0,1,Yes
380130 - Carbonaceous pastes; for electrodes and similar pastes for furnace linings,0,0,1,No
"380190 - Graphite or other carbon based preparations; in the form of pastes, blocks, plates or other semi-manufactures",0,0,1,Yes
"380290 - Chemical products; activated natural mineral products, animal black, including spent animal black",0,0,3,Yes
"380300 - Chemical products; tall oil, whether or not refined",0,0,1,Yes
"380400 - Lyes, residual; from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulphonates but excluding tall oil of heading no. 3803",0,0,3,Yes
"380510 - Terpenic oils; gum, wood or sulphate turpentine oils",0,0,1,No
"380590 - Terpenic oils; produced by the treatment of coniferous woods, crude dipentene, sulphite turpentine and other crude para-cymene, n.e.s. in heading no. 3805",0,0,1,Yes
380610 - Rosin and resin acids,0,0,1,Yes
380620 - Rosin; salts of rosin or of resin acids,0,0,1,Yes
380630 - Ester gums,0,0,2,Yes
"380690 - Rosin; spirit and oils, n.e.s. in heading no. 3806",0,0,2,Yes
"380700 - Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch",0,0,1,No
380869 - Other,0,0,2,No
380892 - Fungicides,0,0,3,Yes
"380893 - Herbicides, anti-sprouting products and plant-growth regulators",0,0,4,Yes
380894 - Disinfectants,0,0,3,Yes
"380910 - Finishing agents and dye carriers; to accelerate dyeing or fixing of dye-stuffs, other products and preparations, used in textile, paper, leather etc industries, with basis of amylaceous substances, n.e.s.",0,0,1,Yes
"380991 - Finishing agents and dye carriers; to accelerate dyeing or fixing of dye-stuffs, other products and preparations, used in the textile industry (excluding those with a basis of amylaceous substances)",0,0,2,Yes
"380992 - Finishing agents and dye carriers; to accelerate dyeing or fixing of dye-stuffs, other products and preparations, used in the paper industry (excluding those with a basis of amylaceous substances)",0,0,1,Yes
"380993 - Finishing agents and dye carriers; to accelerate dyeing or fixing of dye-stuffs, other products and preparations, used in the leather or like (excluding paper and textile) industries, (excluding those with a basis of amylaceous substances)",0,0,1,Yes
"381010 - Pickling preparations for metal surfaces; soldering, brazing or welding powders and pastes consisting of metal and other materials",0,0,1,Yes
"381090 - Fluxes and other auxiliary preparations; for soldering, brazing or welding, or preparations used as cores or coatings for welding electrodes or rods",0,0,1,Yes
381121 - Lubricating oil additives; containing petroleum oils or oils obtained from bituminous minerals,0,0,2,Yes
381129 - Lubricating oil additives; not containing petroleum oils or oils obtained from bituminous minerals,0,0,1,Yes
"381190 - Oxidation and gum inhibitors, viscosity improvers, anti-corrosive preparations, other prepared additives for mineral oils or liquids used as mineral oils (including gasoline), n.e.s. in heading no. 3811",0,0,2,Yes
381210 - Rubber accelerators; prepared,0,0,1,Yes
"381220 - Plasticisers, compound; for rubber or plastics",0,0,1,Yes
