product,rate_mfn,rate_applied,tariff_lines,is_traded
"841850 - Refrigerating or freezing equipment; display counters, cabinets, show-cases and the like",30,30,4,Yes
841861 - Refrigerating or freezing equipment; compression type units whose condensers are heat exchangers,30,30,1,Yes
"841869 - Refrigerating or freezing equipment; heat pumps, other than compression type units whose condensers are heat exchangers",30,30,6,Yes
"841891 - Refrigerating or freezing equipment; parts, furniture designed to receive refrigerating or freezing equipment",30,30,1,Yes
"841899 - Refrigerating or freezing equipment; parts thereof, other than furniture",30,30,3,Yes
870510 - Vehicles; crane lorries,30,30,1,No
870520 - Vehicles; mobile drilling derricks,30,30,1,No
870530 - Vehicles; fire fighting vehicles,30,30,1,Yes
870540 - Vehicles; concrete-mixer lorries,30,30,1,No
"870590 - Vehicles; break-down lorries, road-sweepers, spraying lorries, mobile workshops, mobile radiological units, and other special purpose vehicles n.e.s. in heading no. 8705",30,30,3,Yes
"870821 - Vehicles; parts of bodies, safety seat belts",30,30,1,Yes
870895 - Safety airbags with inflator system; parts thereof,30,30,2,Yes
930200 - Revolvers and pistols; other than those of heading no. 9303 or 9304,30,30,1,Yes
930310 - Firearms; muzzle-loading,30,30,1,No
"930320 - Firearms; sporting, hunting or target-shooting shotguns, including combination shotgun-rifles",30,30,2,Yes
"930330 - Firearms; sporting, hunting or target-shooting rifles n.e.s. in heading no. 9303",30,30,2,Yes
930390 - Firearms; n.e.s. in heading no. 9303,30,30,2,Yes
"930400 - Firearms; (eg spring, air or gas guns and pistols, truncheons), excluding those of heading no. 9307",30,30,2,Yes
940120 - Seats; of a kind used for motor vehicles,30,30,2,Yes
950810 - Travelling circuses and travelling menageries,30,30,1,Yes
"961400 - Smoking pipes (including pipe bowls) and cigar or cigarette holders, and parts thereof",30,30,3,Yes
"690721 - Of a water absorption coefficient by weight not exceeding 0,5 %",29,29,9,No
"040110 - Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content not exceeding 1% (by weight)",28,28,2,No
"040120 - Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content exceeding 1% but not exceeding 6% (by weight)",28,28,2,Yes
"100640 - Cereals; rice, broken",28,28,2,No
"252329 - Cement; portland, other than white, whether or not artificially coloured",28,28,2,Yes
"360490 - Pyrotechnic products; signalling flares, rain rockets, fog signals and other pyrotechnic articles (excluding fireworks)",28,28,4,Yes
"391510 - Ethylene polymers; waste, parings and scrap",28,28,2,Yes
"391520 - Styrene polymers; waste, parings and scrap",28,28,2,Yes
"391530 - Vinyl chloride polymers; waste, parings and scrap",28,28,2,Yes
"400510 - Rubber; unvulcanised, compounded with carbon black or silica, in primary forms or in plates, sheets or strip",28,28,2,Yes
"400591 - Rubber; unvulcanised, (compounded other than with carbon black or silica), in plates, sheets and strip",28,28,2,Yes
"680291 - Marble, travertine and alabaster; articles thereof, (other than simply cut or sawn, with a flat or even surface)",28,28,2,Yes
"961380 - Lighters; whether or not mechanical or electrical, n.e.s. in heading no. 9613",28,28,4,Yes
"401390 - Rubber; inner tubes, n.e.s. in heading no. 4013",27,27,8,Yes
080711 - Watermelons,27,27,1,Yes
"870899 - Vehicles; parts and accessories, n.e.s. in heading no. 8708",27,27,15,Yes
"871190 - Motorcycles (including mopeds) and cycles; n.e.s. in heading no. 8711, fitted with auxiliary motor, with or without side-cars; side-cars",27,27,3,No
870870 - Vehicles; road wheels and parts and accessories thereof,26,26,18,Yes
"220890 - Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",26,26,10,Yes
871410 - Of motorcycles (including mopeds),26,26,8,Yes
040719 - Other,25,25,4,No
040729 - Other,25,25,2,No
"252321 - Cement; portland, white, whether or not artificially coloured",25,25,1,Yes
252390 - Cement; hydraulic kinds n.e.s. in heading no. 2523,25,25,1,No
"320810 - Paints and varnishes; based on polyesters, dispersed or dissolved in a non-aqueous medium",25,25,4,Yes
"320820 - Paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in a non-aqueous medium",25,25,3,Yes
"320890 - Paints and varnishes; based on polymers n.e.s. in heading no. 3208, dispersed or dissolved in a non-aqueous medium",25,25,6,Yes
